id,title
chime,Chime
myntra,Myntra
meesho,Meesho
ajio,Ajio
asos,ASOS
wayfair,Wayfair
daraz,Daraz
lazada,Lazada
nykaa,Nykaa
ola,Ola
booking-com,Booking.com
makemytrip,MakeMyTrip
blablacar,BlaBlaCar
skyscanner,Skyscanner
disney-plus,Disney+
jiocinema,JioCinema
hotstar,Hotstar
monday-com,Monday.com
calm,Calm
myfitnesspal,MyFitnessPal
cult-fit,Cult.fit
healthifyme,HealthifyMe
domino-s,Domino’s
bhim,BHIM
hdfc-bank-app,HDFC Bank App
icici-imobile,ICICI iMobile
axis-mobile,Axis Mobile
kotak-811,Kotak 811
affirm,Affirm
ramp,Ramp
mercury,Mercury
remitly,Remitly
worldremit,WorldRemit
western-union-app,Western Union App
mobikwik,MobiKwik
freecharge,Freecharge
groww,Groww
upstox,Upstox
indmoney,INDmoney
et-money,ET Money
cred,CRED
slice,Slice
jupiter,Jupiter
niyo,Niyo
ynab,YNAB
pocketguard,PocketGuard
acorns,Acorns
stash,Stash
sofi,SoFi
ally-bank,Ally Bank
varo,Varo
current,Current
aspiration,Aspiration
tinkoff,Tinkoff
paysera,Paysera
curve,Curve
cashplus,Cashplus
bitstamp,Bitstamp
temu,Temu
shein,Shein
tmall,Tmall
jd-com,JD.com
mercado-libre,Mercado Libre
noon,Noon
jumia,Jumia
depop,Depop
poshmark,Poshmark
carousell,Carousell
olx,OLX
quikr,Quikr
banggood,Banggood
gearbest,Gearbest
overstock,Overstock
1mg,1mg
pharmeasy,PharmEasy
netmeds,Netmeds
firstcry,FirstCry
lenskart,Lenskart
pepperfry,Pepperfry
urban-ladder,Urban Ladder
snapdeal,Snapdeal
blinkit,Blinkit
zepto,Zepto
shipt,Shipt
costco-app,Costco App
best-buy-app,Best Buy App
wayfair-app,Wayfair App
chewy,Chewy
zappos,Zappos
goat,GOAT
ssense,Ssense
mr-porter,Mr Porter
net-a-porter,Net-a-Porter
rebag,Rebag
the-realreal,The RealReal
grailed,Grailed
ecwid,Ecwid
magento,Magento
geneva,Geneva
geneva-groups,Geneva Groups
amino,Amino
lemon8,Lemon8
koo,Koo
sharechat,ShareChat
moj,Moj
josh,Josh
chingari,Chingari
roposo,Roposo
likee,Likee
hike,Hike
imo,IMO
marco-polo,Marco Polo
houseparty,Houseparty
yubo,Yubo
wink,Wink
slowly,Slowly
peanut,Peanut
fishbowl,Fishbowl
blind,Blind
lunchclub,Lunchclub
shapr,Shapr
curiositystream,CuriosityStream
discovery-plus,Discovery+
peacock,Peacock
sonyliv,SonyLIV
zee5,Zee5
mx-player,MX Player
voot,Voot
funimation,Funimation
pluto-tv,Pluto TV
anchor,Anchor
storytel,Storytel
kindle,Kindle
beehiiv,Beehiiv
revue,Revue
inshorts,Inshorts
dailyhunt,Dailyhunt
smartnews,SmartNews
newsbreak,NewsBreak
justwatch,JustWatch
bear,Bear
superhuman,Superhuman
newton-mail,Newton Mail
missive,Missive
freshsales,Freshsales
crisp,Crisp
gorgias,Gorgias
height,Height
wrike,Wrike
proofhub,ProofHub
smartsheet,Smartsheet
notability,Notability
goodnotes,GoodNotes
xmind,XMind
mindnode,MindNode
figjam,FigJam
whimsical,Whimsical
lucidchart,Lucidchart
harvest,Harvest
freedom,Freedom
cold-turkey,Cold Turkey
sunsama,Sunsama
motion,Motion
reclaim-ai,Reclaim AI
fantastical,Fantastical
outlook,Outlook
freshbooks,FreshBooks
wave,Wave
recurly,Recurly
convertkit,ConvertKit
klaviyo,Klaviyo
gamma,Gamma
tome,Tome
pitch,Pitch
beautiful-ai,Beautiful.ai
screen-studio,Screen Studio
riverside,Riverside
kapwing,Kapwing
runway,Runway
synthesia,Synthesia
pictory,Pictory
freeletics,Freeletics
fitbod,Fitbod
centr,Centr
sweat,Sweat
8fit,8fit
seven,Seven
jefit,JEFIT
strong,Strong
mapmyrun,MapMyRun
zwift,Zwift
trainerize,Trainerize
mysugr,MySugr
glucose-buddy,Glucose Buddy
flo,Flo
clue,Clue
ovia,Ovia
betterhelp,BetterHelp
talkspace,Talkspace
wysa,Wysa
youper,Youper
minddoc,MindDoc
sanvello,Sanvello
fabulous,Fabulous
stoic,Stoic
reflectly,Reflectly
daylio,Daylio
sleep-cycle,Sleep Cycle
sleepscore,SleepScore
calm-sleep,Calm Sleep
insight-timer,Insight Timer
balance,Balance
aura,Aura
noom,Noom
lifesum,Lifesum
yazio,Yazio
fooducate,Fooducate
eatsure,EatSure
chownow,ChowNow
ritual,Ritual
talabat,Talabat
careem-food,Careem Food
bolt-food,Bolt Food
skipthedishes,SkipTheDishes
menulog,Menulog
domino-s-tracker,Domino’s Tracker
burger-king-app,Burger King App
taco-bell-app,Taco Bell App
pizza-hut-app,Pizza Hut App
baskin-robbins-app,Baskin Robbins App
dunkin-app,Dunkin App
blue-apron,Blue Apron
freshly,Freshly
gousto,Gousto
everyplate,EveryPlate
home-chef,Home Chef
hopper,Hopper
rome2rio,Rome2Rio
omio,Omio
agoda,Agoda
hostelworld,Hostelworld
cleartrip,Cleartrip
yatra,Yatra
ixigo,ixigo
redbus,RedBus
flixbus,FlixBus
blablacar-daily,BlaBlaCar Daily
turo,Turo
getaround,Getaround
zipcar,Zipcar
lime,Lime
bird,Bird
tier,Tier
bolt,Bolt
careem,Careem
free-now,Free Now
grabtaxi,GrabTaxi
moovit,Moovit
citymapper,Citymapper
transit-app,Transit App
roadtrippers,Roadtrippers
parkmobile,ParkMobile
spothero,SpotHero
character-ai,Character AI
codespaces,Codespaces
logrocket,LogRocket
v0-dev,V0.dev
bolt-new,Bolt.new
cursor,Cursor
tabnine,Tabnine
leonardo-ai,Leonardo AI
runpod,RunPod
colab,Colab
epic-games-store,Epic Games Store
xbox-app,Xbox App
gog,GOG
miniclip,Miniclip
poki,Poki
crazygames,CrazyGames
armor-games,Armor Games
coolmath-games,Coolmath Games
memrise,Memrise
babbel,Babbel
busuu,Busuu
masterclass,MasterClass
brainly,Brainly
photomath,Photomath
socratic,Socratic
remind,Remind
classdojo,ClassDojo
seesaw,Seesaw
blackboard,Blackboard
noteflight,Noteflight
yousician,Yousician
simply-piano,Simply Piano
fender-play,Fender Play
ultimate-guitar,Ultimate Guitar
garageband,GarageBand
fl-studio-mobile,FL Studio Mobile
soundtrap,Soundtrap
splice,Splice
snapseed,Snapseed
lightroom-mobile,Lightroom Mobile
facetune,Facetune
remini,Remini
lensa,Lensa
capcut-editor,CapCut Editor
inshot,InShot
vn-editor,VN Editor
kinemaster,Kinemaster
filmorago,FilmoraGo
alight-motion,Alight Motion
mojo,Mojo
unfold,Unfold
beacons,Beacons
stan-store,Stan Store
subbly,Subbly
teachable,Teachable
kajabi,Kajabi
podia,Podia
circle-so,Circle.so
